Beam,RA,Dec
0,-2.475,-1.948
1,-1.575,-1.948
2,-0.675,-1.948
3,0.225,-1.948
4,1.125,-1.948
5,2.025,-1.948
6,-2.025,-1.169
7,-1.125,-1.169
8,-0.225,-1.169
9,0.675,-1.169
10,1.575,-1.169
11,2.475,-1.169
12,-2.475,-0.390
13,-1.575,-0.390
14,-0.675,-0.390
15,0.225,-0.390
16,1.125,-0.390
17,2.025,-0.390
18,-2.025,0.390
19,-1.125,0.390
20,-0.225,0.390
21,0.675,0.390
22,1.575,0.390
23,2.475,0.390
24,-2.475,1.169
25,-1.575,1.169
26,-0.675,1.169
27,0.225,1.169
28,1.125,1.169
29,2.025,1.169
30,-2.025,1.948
31,-1.125,1.948
32,-0.225,1.948
33,0.675,1.948
34,1.575,1.948
35,2.475,1.948
